A_0	A_1	R_0	R_1	R_2	R_3	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	#	#	0	1	1	1	0.0962850076067181	0.6261980830670927	7	0	4999	0	0.5	0	392	626
#	#	#	0	#	1	1	0.03125	0.5	5	0	4999	0	0.3333333333333333	0	626	1252
1	#	#	0	1	1	1	1.0	1.0	22	0	4999	0	0.6666666666666666	0	313	313
0	1	#	#	#	#	0	0.03150080128102434	0.5008	6	0	4998	1	0.3333333333333333	0	626	1250
1	0	#	0	0	#	0	1.0	1.0	19	0	4994	2	0.6666666666666666	0	313	313
#	#	#	#	1	1	1	0.23793817536009593	0.7504	7	0	4999	2	0.3333333333333333	0	938	1250
0	1	#	0	#	#	0	1.0	1.0	21	0	4998	2	0.5	0	625	625
1	#	1	0	0	1	0	0.03125	0.5	3	0	4970	3	0.8333333333333334	0	78	156
#	0	#	#	1	#	1	0.23825466501750045	0.750599520383693	5	0	4999	3	0.3333333333333333	0	939	1251
#	#	1	#	1	1	1	0.5134953852175069	0.8752	5	0	4999	5	0.5	0	547	625
#	1	#	0	#	#	1	0.0009765625	0.25	1	0	4990	6	0.3333333333333333	0	312	1248
0	0	#	#	1	#	1	0.03125	0.5	7	0	4978	6	0.5	0	312	624
#	#	#	#	1	#	1	0.095367431640625	0.625	2	0	4999	7	0.16666666666666666	0	1560	2496
#	0	1	#	#	1	1	0.2373046875	0.75	8	0	4999	8	0.5	0	468	624
0	#	#	#	0	#	1	0.031124900080641994	0.4995990376904571	1	0	4995	9	0.3333333333333333	0	623	1247
#	0	1	0	#	1	1	0.2373046875	0.75	9	0	4999	9	0.6666666666666666	0	234	312
#	#	1	#	1	#	1	0.2373046875	0.75	2	0	4999	10	0.3333333333333333	0	936	1248
#	0	#	#	1	1	1	0.2373046875	0.75	14	0	4999	10	0.5	0	468	624
0	#	#	#	#	1	0	0.031375501846421426	0.5004009623095429	1	0	4993	11	0.3333333333333333	0	624	1247
#	#	#	1	#	1	1	0.23698768956572133	0.7497995188452286	5	0	4997	12	0.3333333333333333	0	935	1247
0	1	#	#	#	#	1	0.03125	0.5	4	0	4991	12	0.3333333333333333	0	624	1248
#	#	#	#	#	0	0	0.09575043288092482	0.6255012028869287	1	0	4998	14	0.16666666666666666	0	1560	2494
0	#	#	0	0	#	1	0.0009532751183593497	0.24879614767255218	1	0	4995	16	0.5	0	155	623
1	#	#	#	1	1	1	1.0	1.0	28	0	4999	16	0.5	0	624	624
0	#	1	#	0	#	1	0.2354001653509851	0.748792270531401	9	0	4995	17	0.5	0	465	621
#	0	#	1	#	1	1	0.030750808994854082	0.4983922829581994	7	0	4997	17	0.5	0	310	622
#	#	1	1	1	1	1	1.0	1.0	8	0	4997	18	0.6666666666666666	0	311	311
#	#	#	1	1	1	1	0.512321141733413	0.8747993579454254	7	0	4997	19	0.5	0	545	623
1	#	#	0	#	1	1	0.23667052247664122	0.7495987158908507	13	0	4999	19	0.5	0	467	623
1	0	#	#	0	#	1	0.0	0.0	4	0	20	20	0.5	0	0	623
#	0	1	#	#	1	0	0.0009923641538677164	0.2508038585209003	2	0	4983	20	0.5	0	156	622
1	#	1	#	1	1	1	1.0	1.0	18	0	4999	24	0.6666666666666666	0	312	312
1	#	1	#	#	1	1	0.23667052247664122	0.7495987158908507	3	0	4999	25	0.5	0	467	623
#	#	#	1	0	1	1	0.0939932841461223	0.6231884057971014	2	0	4989	26	0.5	0	387	621
#	0	#	0	#	1	1	0.031755652923766926	0.5016077170418006	3	0	4999	28	0.5	0	312	622
1	0	1	0	#	1	1	0.03125	0.5	7	0	4999	30	0.8333333333333334	0	78	156
1	#	0	1	#	1	0	0.0010084736246631968	0.25161290322580643	1	0	4959	31	0.6666666666666666	0	78	310
1	#	#	0	1	#	0	0.0009609627810891901	0.2491961414790997	2	0	4976	31	0.5	0	155	622
0	1	#	0	#	1	0	1.0	1.0	17	0	4993	31	0.6666666666666666	0	311	311
1	0	#	#	0	#	0	1.0	1.0	11	0	4994	32	0.5	0	621	621
#	0	1	0	#	#	1	0.23667052247664122	0.7495987158908507	7	0	4999	32	0.5	0	467	623
0	1	#	0	#	0	0	1.0	1.0	25	0	4998	33	0.6666666666666666	0	312	312
1	0	1	#	#	1	1	0.03125	0.5	5	0	4999	36	0.6666666666666666	0	156	312
#	#	#	#	#	1	0	0.007440713515804037	0.37525191455058443	1	0	4994	37	0.16666666666666666	0	931	2481
1	0	1	#	1	1	1	1.0	1.0	23	0	4999	37	0.8333333333333334	0	156	156
#	0	1	1	1	1	1	1.0	1.0	24	0	4997	39	0.8333333333333334	0	155	155
1	0	0	1	#	1	0	0.030254859120342058	0.4967741935483871	1	0	4959	40	0.8333333333333334	0	77	155
#	0	#	0	0	#	0	0.2373046875	0.75	4	0	4994	41	0.5	0	465	620
1	0	1	0	0	1	0	1.0	1.0	14	0	4970	42	1.0	0	77	77
1	0	#	1	1	#	1	1.0	1.0	12	0	4997	45	0.6666666666666666	0	311	311
1	#	#	0	0	1	0	0.031758946941950465	0.5016181229773463	3	0	4994	45	0.6666666666666666	0	155	309
0	1	1	0	#	1	0	1.0	1.0	18	0	4971	50	0.8333333333333334	0	154	154
0	#	#	0	#	1	0	0.23602748547582986	0.7491909385113269	8	0	4993	51	0.5	0	463	618
1	#	1	0	0	#	0	0.2373046875	0.75	6	0	4970	52	0.6666666666666666	0	231	308
#	0	#	1	1	1	1	0.23986734932970938	0.7516129032258064	7	0	4997	52	0.6666666666666666	0	233	310
1	0	#	#	#	#	0	0.030873498374599205	0.49878934624697335	7	0	4994	53	0.3333333333333333	0	618	1239
0	1	#	0	0	#	0	1.0	1.0	18	0	4998	53	0.6666666666666666	0	310	310
#	0	#	#	0	#	0	0.23634704271506057	0.7493936944219887	4	0	4994	54	0.3333333333333333	0	927	1237
#	1	1	1	#	1	1	1.0	1.0	15	0	4991	55	0.6666666666666666	0	310	310
0	#	#	0	1	#	0	0.2379463980161281	0.7504051863857374	3	0	4988	55	0.5	0	463	617
1	#	#	0	1	#	1	0.2392277300107553	0.7512116316639742	8	0	4999	57	0.5	0	465	619
1	0	#	#	#	1	0	0.030749209090118065	0.49838709677419357	7	0	4994	57	0.5	0	309	620
0	0	#	0	0	1	0	0.030254859120342058	0.4967741935483871	2	0	4947	58	0.8333333333333334	0	77	155
#	1	#	#	#	#	0	0.03125	0.5	1	0	4998	58	0.16666666666666666	0	1235	2470
#	1	#	0	#	1	0	0.03125	0.5	4	0	4993	59	0.5	0	309	618
1	0	#	0	0	#	1	0.0	0.0	4	0	59	59	0.6666666666666666	0	0	309
1	0	#	0	0	1	0	1.0	1.0	18	0	4994	60	0.8333333333333334	0	155	155
0	#	#	0	1	1	1	0.0009765625	0.25	1	0	4962	63	0.6666666666666666	0	77	308
1	0	#	1	1	1	1	1.0	1.0	20	0	4997	63	0.8333333333333334	0	155	155
1	0	#	0	1	#	1	1.0	1.0	22	0	4999	65	0.6666666666666666	0	309	309
#	#	#	0	0	1	0	0.09505919844148691	0.6245954692556634	1	0	4994	65	0.5	0	386	618
#	1	#	0	0	1	1	0.03125	0.5	2	0	4952	66	0.6666666666666666	0	154	308
1	#	1	1	#	1	1	0.23858741255028879	0.7508090614886731	8	0	4997	67	0.6666666666666666	0	232	309
0	1	1	0	0	1	0	1.0	1.0	16	0	4971	67	1.0	0	77	77
#	#	#	0	1	1	0	0.007355870574687905	0.37439222042139386	2	0	4960	68	0.5	0	231	617
