A_0	A_1	R_0	R_1	R_2	R_3	Phenotype	Fitness	Accuracy	Numerosity	InitTimeStamp	Specificity
0	0	#	0	1	#	1	0.03125	0.5	1	0	0.666666667
#	1	0	#	0	0	0	0.234796204	0.748407643	2	1	0.666666667
0	1	0	#	0	#	1	0.031752401	0.501597444	2	2	0.666666667
0	#	0	#	#	1	0	0.236043773	0.749201278	4	3	0.5
0	#	#	#	1	0	0	0.031500801	0.5008	1	5	0.5
#	#	#	#	1	#	1	0.095482065	0.62515018	8	6	0.166666667
1	1	#	#	#	1	1	1	1	28	9	0.5
1	#	#	0	0	#	0	0.239215343	0.751203852	8	14	0.5
1	1	#	#	#	#	0	0.031375502	0.500400962	2	15	0.333333333
#	0	1	#	#	1	1	0.238579146	0.750803859	4	27	0.5
#	#	#	#	0	1	0	0.03112389	0.499595796	1	45	0.333333333
#	#	#	1	0	1	1	0.09521396	0.624798712	3	46	0.5
0	#	#	#	1	0	1	0.030749209	0.498387097	1	48	0.5
#	1	#	0	1	#	0	0.23922773	0.751211632	4	49	0.5
#	0	#	#	1	#	1	0.236343941	0.749391727	7	64	0.333333333
0	1	0	#	#	#	1	0.031504064	0.500810373	2	66	0.5
0	0	#	#	0	0	1	0.03125	0.5	2	68	0.666666667
#	1	#	#	#	#	1	0.031377239	0.500406504	1	79	0.166666667
#	#	#	1	#	#	0	0.007420811	0.375050958	1	97	0.166666667
#	#	1	#	#	1	1	0.237628786	0.75020475	6	107	0.333333333
#	1	#	0	#	#	0	0.238604272	0.750819672	7	112	0.333333333
#	1	0	0	1	#	0	0.238604272	0.750819672	1	112	0.666666667
#	1	#	#	#	1	1	0.237629851	0.750205423	7	122	0.333333333
0	0	#	#	#	0	1	0.03125	0.5	2	132	0.5
#	1	#	#	1	#	0	0.031121611	0.499588477	1	143	0.333333333
1	#	0	0	0	#	0	0.239935534	0.751655629	1	163	0.666666667
1	1	1	#	#	#	1	0.031509982	0.500829187	1	165	0.5
#	1	0	#	#	0	0	0.237304688	0.75	4	168	0.5
#	#	#	1	#	1	1	0.237632004	0.750206782	6	171	0.333333333
#	#	1	#	0	1	1	0.096321735	0.626245847	2	171	0.5
0	#	0	#	#	#	0	0.236324901	0.749379653	8	173	0.333333333
#	#	#	#	#	0	0	0.094735443	0.624169435	6	183	0.166666667
0	#	#	#	1	#	0	0.031379883	0.500414938	1	183	0.333333333
#	0	#	#	#	#	1	0.03125	0.5	1	192	0.166666667
#	0	#	1	0	1	0	0.235984865	0.74916388	6	204	0.666666667
1	#	#	#	0	0	0	1	1	18	206	0.5
#	#	#	0	#	#	0	0.095407258	0.625052192	3	206	0.166666667
#	#	#	0	1	#	0	0.03125	0.5	1	207	0.333333333
#	#	0	#	#	#	0	0.095567029	0.625261397	3	225	0.166666667
0	#	#	#	#	#	1	0.031119247	0.499580889	3	225	0.166666667
#	#	0	0	0	#	0	0.51414367	0.875420875	7	230	0.5
1	#	#	0	#	#	0	0.031118808	0.499579479	1	230	0.333333333
#	#	1	#	1	#	1	0.23630509	0.749367089	4	256	0.333333333
#	#	#	0	0	0	0	0.512289331	0.874788494	4	266	0.5
#	1	#	#	#	0	0	0.237640908	0.750212404	9	288	0.333333333
1	1	0	#	#	#	0	0.031516182	0.500848896	1	288	0.5
#	#	#	0	0	#	0	0.238657618	0.750853242	2	290	0.333333333
0	#	#	#	#	#	0	0.031316574	0.500212857	1	304	0.166666667
0	0	#	#	0	#	1	0.03125	0.5	1	324	0.5
0	#	#	#	#	0	1	0.03125	0.5	1	324	0.333333333
#	0	1	#	0	1	1	0.03125	0.5	1	347	0.666666667
0	0	#	#	#	#	1	0.03098245	0.499140893	2	347	0.333333333
0	#	0	#	0	#	0	0.234589559	0.748275862	5	353	0.5
#	1	1	#	#	1	1	0.237304688	0.75	5	357	0.5
#	#	#	#	#	1	1	0.094957426	0.624461671	5	357	0.166666667
1	0	#	#	#	0	0	0.030713071	0.498269896	1	364	0.5
0	1	0	#	#	#	0	0.03071491	0.498275862	1	368	0.5
#	1	#	0	#	0	1	0	0	1	368	0.5
0	#	1	#	#	0	1	0.237304688	0.75	5	391	0.5
#	0	#	1	#	#	0	0.031114484	0.499565595	1	396	0.333333333
#	#	1	0	#	#	0	0.031113299	0.499561788	1	418	0.333333333
1	#	0	#	0	#	0	0.238695684	0.750877193	3	435	0.5
#	#	#	1	1	1	1	0.513553132	0.875219684	3	445	0.5
#	1	#	#	0	#	1	0.031387665	0.500439754	1	450	0.333333333
#	0	1	#	1	#	1	1	1	27	479	0.5
#	#	#	#	1	0	1	0.030837737	0.49867374	1	479	0.333333333
1	#	#	#	1	#	1	0.239419689	0.751332149	12	490	0.333333333
#	#	#	#	0	1	1	0.03125	0.5	1	491	0.333333333
0	#	1	#	1	0	1	0.23589048	0.749103943	2	538	0.666666667
#	#	#	0	0	1	0	0.096404776	0.626353791	3	546	0.5
#	1	#	#	1	1	1	0.235182119	0.748653501	3	554	0.5
#	#	0	1	#	#	0	0.030970485	0.499102334	1	556	0.333333333
